INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2016-04-15T23:00:00-00:00,2016-04-16T00:00:00-00:00,1,2016-04-15,17,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3291.09,DAM,2
2016-04-16T01:00:00-00:00,2016-04-16T02:00:00-00:00,1,2016-04-15,19,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3237.69,DAM,2
2016-04-16T03:00:00-00:00,2016-04-16T04:00:00-00:00,1,2016-04-15,21,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3509.85,DAM,2
2016-04-15T10:00:00-00:00,2016-04-15T11:00:00-00:00,1,2016-04-15,4,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2876.91,DAM,2
2016-04-15T12:00:00-00:00,2016-04-15T13:00:00-00:00,1,2016-04-15,6,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3066.51,DAM,2
2016-04-15T15:00:00-00:00,2016-04-15T16:00:00-00:00,1,2016-04-15,9,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3324.04,DAM,2
2016-04-15T18:00:00-00:00,2016-04-15T19:00:00-00:00,1,2016-04-15,12,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3350.4,DAM,2
2016-04-15T08:00:00-00:00,2016-04-15T09:00:00-00:00,1,2016-04-15,2,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2977.13,DAM,2
2016-04-15T09:00:00-00:00,2016-04-15T10:00:00-00:00,1,2016-04-15,3,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2916.46,DAM,2
2016-04-15T14:00:00-00:00,2016-04-15T15:00:00-00:00,1,2016-04-15,8,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3244.5,DAM,2
